Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,294149,294149,10000,2025-09-07,1
2,157713,157713,10000,2025-11-28,1
3,228374,228374,10000,2025-12-21,1
4,615168,615168,10000,2025-10-14,1
5,281627,281627,10000,2025-06-21,1
6,299683,299683,10000,2025-10-21,1
7,985095,985095,10000,2025-07-07,1
8,999773,999773,10000,2025-08-14,1
9,513451,513451,10000,2025-11-14,1
10,347148,347148,10000,2025-06-28,1
11,324876,324876,10000,2025-08-21,1
12,373273,373273,10000,2025-11-14,1
13,376681,376681,10000,2025-03-07,1
14,975763,975763,10000,2025-01-06,1
15,25077,25077,10000,2025-07-07,1
16,54914,54914,10000,2025-01-13,1
17,65710,65710,10000,2025-07-14,1
18,806081,806081,10000,2025-05-28,1
19,955074,955074,10000,2025-06-28,1
20,324998,324998,10000,2025-12-21,1
21,548631,548631,10000,2025-12-28,1
22,333301,333301,10000,2025-08-28,1
23,929600,929600,10000,2025-11-21,1
24,142472,142472,10000,2025-04-07,1
25,48400,48400,10000,2025-03-28,1
26,882493,882493,10000,2025-03-07,1
27,926771,926771,10000,2025-02-27,1
28,122966,122966,10000,2025-12-21,1
29,456164,456164,10000,2025-05-07,1
30,435195,435195,10000,2025-01-20,1
31,967213,967213,10000,2025-08-28,1
32,984578,984578,10000,2025-02-06,1
33,757701,757701,10000,2025-03-21,1
34,848813,848813,10000,2025-02-27,1
35,976906,976906,10000,2025-02-20,1
36,155968,155968,10000,2025-02-20,1
37,444893,444893,10000,2025-07-21,1
38,874157,874157,10000,2025-05-28,1
39,179994,179994,10000,2025-10-14,1
40,630930,630930,10000,2025-11-07,1
41,44719,44719,10000,2025-03-07,1
42,370527,370527,10000,2025-05-14,1
43,569319,569319,10000,2025-07-07,1
44,880617,880617,10000,2025-01-20,1
45,633133,633133,10000,2025-11-14,1
46,952918,952918,10000,2025-08-07,1
47,916095,916095,10000,2025-12-28,1
48,82065,82065,10000,2025-03-21,1
49,486946,486946,10000,2025-06-14,1
50,187595,187595,10000,2025-07-21,1
51,121153,121153,10000,2025-01-06,1
52,209380,209380,10000,2025-01-27,1
53,484346,484346,10000,2025-05-07,1
54,671617,671617,10000,2025-01-06,1
55,715970,715970,10000,2025-03-14,1
56,957286,957286,10000,2025-07-14,1
57,846914,846914,10000,2025-12-21,1
58,985574,985574,10000,2025-10-28,1
59,170722,170722,10000,2025-06-14,1
60,705150,705150,10000,2025-08-21,1
61,697572,697572,10000,2025-12-07,1
62,439755,439755,10000,2025-07-07,1
63,232644,232644,10000,2025-08-21,1
64,58947,58947,10000,2025-01-20,1
65,424536,424536,10000,2025-12-07,1
66,263334,263334,10000,2025-06-28,1
67,783237,783237,10000,2025-12-28,1
68,901052,901052,10000,2025-11-21,1
69,914701,914701,10000,2025-03-07,1
70,468639,468639,10000,2025-06-07,1
71,6686,6686,10000,2025-04-07,1
72,356522,356522,10000,2025-02-06,1
73,899527,899527,10000,2025-09-21,1
74,762581,762581,10000,2025-07-21,1
75,21174,21174,10000,2025-11-07,1
76,889987,889987,10000,2025-08-28,1
77,137423,137423,10000,2025-06-21,1
78,567754,567754,10000,2025-03-28,1
79,919451,919451,10000,2025-02-27,1
80,630814,630814,10000,2025-07-14,1
81,301306,301306,10000,2025-03-28,1
82,160070,160070,10000,2025-05-07,1
83,77788,77788,10000,2025-07-14,1
84,728109,728109,10000,2025-05-14,1
85,989128,989128,10000,2025-07-14,1
86,632637,632637,10000,2025-07-07,1
87,113206,113206,10000,2025-04-21,1
88,436279,436279,10000,2025-01-06,1
89,485208,485208,10000,2025-09-14,1
90,506344,506344,10000,2025-06-14,1
91,139605,139605,10000,2025-06-07,1
92,500015,500015,10000,2025-02-27,1
93,879017,879017,10000,2025-09-07,1
94,756153,756153,10000,2025-12-28,1
95,722040,722040,10000,2025-10-14,1
96,869430,869430,10000,2025-06-28,1
97,132702,132702,10000,2025-07-28,1
98,107343,107343,10000,2025-04-14,1
99,989326,989326,10000,2025-01-27,1
100,897513,897513,10000,2025-03-21,1
101,909669,909669,10000,2025-06-07,1
102,110752,110752,10000,2025-08-07,1
103,789025,789025,10000,2025-10-21,1
104,818138,818138,10000,2025-05-07,1
105,350604,350604,10000,2025-12-07,1
106,626637,626637,10000,2025-02-13,1
107,849035,849035,10000,2025-10-07,1
108,257457,257457,10000,2025-06-07,1
109,5915,5915,10000,2025-02-27,1
110,762588,762588,10000,2025-07-28,1
111,863682,863682,10000,2025-10-14,1
112,678753,678753,10000,2025-07-07,1
113,322406,322406,10000,2025-11-21,1
114,169668,169668,10000,2025-07-28,1
115,23370,23370,10000,2025-11-07,1
116,947154,947154,10000,2025-11-07,1
117,939475,939475,10000,2025-11-14,1
118,53616,53616,10000,2025-06-28,1
119,778733,778733,10000,2025-09-07,1
120,17321,17321,10000,2025-04-28,1
121,202991,202991,10000,2025-08-14,1
122,873321,873321,10000,2025-02-13,1
123,278990,278990,10000,2025-04-07,1
124,359646,359646,10000,2025-08-21,1
125,147687,147687,10000,2025-07-07,1
126,885886,885886,10000,2025-06-14,1
127,406785,406785,10000,2025-06-07,1
128,622328,622328,10000,2025-05-07,1
129,785046,785046,10000,2025-12-07,1
130,865404,865404,10000,2025-06-28,1
131,45594,45594,10000,2025-07-28,1
132,695833,695833,10000,2025-03-07,1
133,436041,436041,10000,2025-05-14,1
134,316420,316420,10000,2025-07-14,1
135,327164,327164,10000,2025-11-21,1
136,561451,561451,10000,2025-01-06,1
137,780248,780248,10000,2025-10-28,1
138,191255,191255,10000,2025-07-21,1
139,132407,132407,10000,2025-10-07,1
140,92039,92039,10000,2025-06-21,1
141,729139,729139,10000,2025-03-07,1
142,561397,561397,10000,2025-11-14,1
143,541494,541494,10000,2025-06-28,1
144,292424,292424,10000,2025-12-21,1
145,924209,924209,10000,2025-02-27,1
146,544422,544422,10000,2025-06-28,1
147,878299,878299,10000,2025-09-21,1
148,512254,512254,10000,2025-08-07,1
149,549454,549454,10000,2025-03-28,1
150,599498,599498,10000,2025-12-21,1
151,24109,24109,10000,2025-11-14,1
152,747776,747776,10000,2025-02-06,1
153,705693,705693,10000,2025-02-13,1
154,616724,616724,10000,2025-01-13,1
155,189930,189930,10000,2025-12-07,1
156,308741,308741,10000,2025-07-21,1
157,532984,532984,10000,2025-03-28,1
158,285965,285965,10000,2025-04-28,1
159,724663,724663,10000,2025-12-14,1
160,550545,550545,10000,2025-03-21,1
161,915203,915203,10000,2025-07-21,1
162,520466,520466,10000,2025-01-13,1
163,819136,819136,10000,2025-01-27,1
164,181808,181808,10000,2025-09-28,1
165,78362,78362,10000,2025-02-06,1
166,343755,343755,10000,2025-03-21,1
167,958073,958073,10000,2025-09-07,1
168,589456,589456,10000,2025-07-14,1
169,729849,729849,10000,2025-02-13,1
170,285341,285341,10000,2025-08-14,1
171,144414,144414,10000,2025-07-28,1
172,803604,803604,10000,2025-08-21,1
173,791299,791299,10000,2025-01-06,1
174,94282,94282,10000,2025-08-07,1
175,896690,896690,10000,2025-12-21,1
176,124620,124620,10000,2025-06-28,1
177,949973,949973,10000,2025-07-21,1
178,483148,483148,10000,2025-01-27,1
179,900448,900448,10000,2025-03-28,1
180,494273,494273,10000,2025-06-21,1
181,55866,55866,10000,2025-08-21,1
182,4704,4704,10000,2025-11-07,1
183,701910,701910,10000,2025-10-14,1
184,946473,946473,10000,2025-12-28,1
185,983784,983784,10000,2025-12-07,1
186,955623,955623,10000,2025-12-28,1
187,666103,666103,10000,2025-12-14,1
188,582594,582594,10000,2025-10-14,1
189,132238,132238,10000,2025-04-21,1
190,312357,312357,10000,2025-06-07,1
191,642031,642031,10000,2025-03-07,1
192,29012,29012,10000,2025-04-07,1
193,35875,35875,10000,2025-01-06,1
194,348635,348635,10000,2025-07-21,1
195,508334,508334,10000,2025-11-21,1
196,761308,761308,10000,2025-01-27,1
197,635084,635084,10000,2025-03-14,1
198,219810,219810,10000,2025-07-28,1
199,337083,337083,10000,2025-12-28,1
200,106282,106282,10000,2025-05-21,1
201,311615,311615,10000,2025-05-28,1
202,411465,411465,10000,2025-03-21,1
203,412662,412662,10000,2025-06-28,1
204,284776,284776,10000,2025-01-27,1
205,458650,458650,10000,2025-02-20,1
206,507304,507304,10000,2025-01-27,1
207,322727,322727,10000,2025-10-07,1
208,745091,745091,10000,2025-10-07,1
209,4389,4389,10000,2025-12-28,1
210,103630,103630,10000,2025-02-20,1
211,798374,798374,10000,2025-05-07,1
212,759196,759196,10000,2025-04-21,1
213,2508,2508,10000,2025-11-07,1
214,171393,171393,10000,2025-04-14,1
215,352638,352638,10000,2025-06-28,1
216,301750,301750,10000,2025-06-14,1
217,675169,675169,10000,2025-09-21,1
218,115845,115845,10000,2025-07-07,1
219,501982,501982,10000,2025-07-14,1
220,164469,164469,10000,2025-05-14,1
221,554915,554915,10000,2025-02-27,1
222,405816,405816,10000,2025-10-14,1
223,628115,628115,10000,2025-02-27,1
224,659041,659041,10000,2025-08-28,1
225,920693,920693,10000,2025-07-21,1
226,294932,294932,10000,2025-10-28,1
227,868471,868471,10000,2025-11-14,1
228,953841,953841,10000,2025-02-13,1
229,555944,555944,10000,2025-12-21,1
230,197423,197423,10000,2025-05-28,1
231,668940,668940,10000,2025-09-14,1
232,106709,106709,10000,2025-07-21,1
233,803498,803498,10000,2025-05-07,1
234,995931,995931,10000,2025-02-13,1
235,383802,383802,10000,2025-08-21,1
236,333728,333728,10000,2025-10-28,1
237,823337,823337,10000,2025-07-21,1
238,363032,363032,10000,2025-11-21,1
